"GeneID" "Chr" "Start" "End" "Strand" "Length"
"447" "lmo1060" "AL591824.1" 1086772 1087434 "+" 663
"448" "lmo1061" "AL591824.1" 1088871 1088909 "+" 39
"449" "lmo1062" "AL591824.1" 1088941 1090362 "+" 1422
"450" "lmo1063" "AL591824.1" 1090375 1091043 "+" 669
"451" "lmo1063" "AL591824.1" 1091058 1091107 "+" 50
"452" "lmo1074" "AL591824.1" 1104048 1104851 "+" 804
"453" "lmo1075" "AL591824.1" 1104863 1105864 "+" 1002
"454" "lmo1075" "AL591824.1" 1105871 1105903 "+" 33
"455" "lmo1082" "AL591824.1" 1116532 1117092 "+" 561
"456" "lmo1083" "AL591824.1" 1117079 1117084 "+" 6
"457" "lmo1084" "AL591824.1" 1118067 1118074 "+" 8
"458" "lmo1084" "AL591824.1" 1118922 1118948 "+" 27
"459" "lmo1086" "AL591824.1" 1121098 1121808 "+" 711
"460" "lmo1087" "AL591824.1" 1121791 1121796 "+" 6
"461" "tagB" "AL591824.1" 1122918 1124078 "+" 1161
"462" "tagD" "AL591824.1" 1124065 1124070 "+" 6
"463" "lmo1092" "AL591824.1" 1126704 1128194 "+" 1491
"464" "lmo1093" "AL591824.1" 1128206 1129030 "+" 825
"465" "lmo1094" "AL591824.1" 1129043 1129351 "+" 309
"466" "lmo1094" "AL591824.1" 1129367 1129402 "+" 36
"467" "lmo1095" "AL591824.1" 1129412 1129816 "+" 405
"468" "lmo1099" "AL591824.1" 1133698 1134117 "-" 420
"469" "lmo1098" "AL591824.1" 1133706 1133711 "-" 6
"470" "lmo1104" "AL591824.1" 1139949 1139954 "-" 6
"471" "lmo1105" "AL591824.1" 1142107 1142112 "-" 6
"472" "lmo1107" "AL591824.1" 1144533 1144928 "-" 396
"473" "lmo1106" "AL591824.1" 1144560 1144565 "-" 6
"474" "lmo1108" "AL591824.1" 1145211 1145711 "-" 501
"475" "lmo1109" "AL591824.1" 1145953 1145958 "-" 6
"476" "lmo1111" "AL591824.1" 1146228 1147412 "-" 1185
"477" "lmo1110" "AL591824.1" 1146237 1146244 "-" 8
"478" "lmo1119" "AL591824.1" 1156384 1157241 "-" 858
"479" "lmo1118" "AL591824.1" 1156389 1156394 "-" 6
"480" "lmo1120" "AL591824.1" 1157592 1158008 "+" 417
"481" "lmo1121" "AL591824.1" 1158020 1158388 "+" 369
"482" "lmo1123" "AL591824.1" 1158930 1159403 "+" 474
"483" "lmo1124" "AL591824.1" 1159379 1159384 "+" 6
"484" "lmo1126" "AL591824.1" 1160778 1161230 "+" 453
"485" "lmo1127" "AL591824.1" 1161208 1161213 "+" 6
"486" "lmo1130" "AL591824.1" 1163277 1163996 "-" 720
"487" "lmo1129" "AL591824.1" 1163288 1163293 "-" 6
"488" "lmo1131" "AL591824.1" 1164245 1165960 "+" 1716
"489" "lmo1132" "AL591824.1" 1165948 1165953 "+" 6
"490" "lmo1142" "AL591824.1" 1174241 1175605 "+" 1365
"491" "lmo1143" "AL591824.1" 1175589 1175594 "+" 6
"492" "lmo1144" "AL591824.1" 1176304 1176654 "+" 351
"493" "lmo1145" "AL591824.1" 1176646 1176651 "+" 6
"494" "lmo1146" "AL591824.1" 1177116 1177865 "+" 750
"495" "lmo1147" "AL591824.1" 1177849 1177854 "+" 6
"496" "lmo1148" "AL591824.1" 1178408 1178413 "+" 6
"497" "lmo1149" "AL591824.1" 1179154 1179158 "+" 5
"498" "lmo1156" "AL591824.1" 1185375 1187195 "+" 1821
"499" "lmo1157" "AL591824.1" 1187177 1187182 "+" 6
"500" "lmo1158" "AL591824.1" 1187552 1187989 "+" 438
"501" "lmo1159" "AL591824.1" 1188014 1188289 "+" 276
"502" "lmo1160" "AL591824.1" 1188277 1188282 "+" 6
"503" "lmo1161" "AL591824.1" 1188949 1189788 "+" 840
"504" "lmo1162" "AL591824.1" 1189770 1189775 "+" 6
"505" "lmo1163" "AL591824.1" 1190256 1190261 "+" 6
"506" "lmo1164" "AL591824.1" 1190547 1191542 "+" 996
"507" "lmo1165" "AL591824.1" 1191534 1191539 "+" 6
"508" "AckA2" "AL591824.1" 1194890 1196083 "+" 1194
"509" "cobD" "AL591824.1" 1196097 1197182 "+" 1086
"510" "lmo1170" "AL591824.1" 1197160 1197166 "+" 7
"511" "lmo1172" "AL591824.1" 1200051 1200632 "+" 582
"512" "lmo1173" "AL591824.1" 1200615 1200620 "+" 6
"513" "lmo1173" "AL591824.1" 1202101 1202140 "+" 40
"514" "lmo1177" "AL591824.1" 1205922 1206575 "+" 654
"515" "lmo1178" "AL591824.1" 1206590 1207111 "+" 522
"516" "lmo1179" "AL591824.1" 1207097 1207102 "+" 6
"517" "lmo1181" "AL591824.1" 1209053 1209808 "+" 756
"518" "lmo1182" "AL591824.1" 1209821 1210462 "+" 642
"519" "lmo1184" "AL591824.1" 1211046 1211315 "+" 270
"520" "lmo1185" "AL591824.1" 1211297 1211302 "+" 6
"521" "lmo1186" "AL591824.1" 1211869 1212990 "+" 1122
"522" "lmo1187" "AL591824.1" 1212969 1212975 "+" 7
"523" "lmo1187" "AL591824.1" 1213437 1213489 "+" 53
"524" "lmo1192" "AL591824.1" 1218160 1218165 "+" 6
"525" "cbiD" "AL591824.1" 1219783 1220904 "+" 1122
"526" "cbiE" "AL591824.1" 1220888 1220893 "+" 6
"527" "cbiF" "AL591824.1" 1222049 1222054 "+" 6
"528" "cbiG" "AL591824.1" 1222786 1222791 "+" 6
"529" "cbiH" "AL591824.1" 1223813 1223818 "+" 6
"530" "lmo1200" "AL591824.1" 1224533 1224538 "+" 6
"531" "lmo1201" "AL591824.1" 1225287 1225292 "+" 6
"532" "cbiK" "AL591824.1" 1226763 1226768 "+" 6
"533" "cbiL" "AL591824.1" 1227541 1227546 "+" 6
"534" "lmo1204" "AL591824.1" 1228249 1228254 "+" 6
"535" "lmo1205" "AL591824.1" 1228978 1228983 "+" 6
"536" "lmo1207" "AL591824.1" 1229967 1230773 "+" 807
"537" "cbiP" "AL591824.1" 1230757 1230762 "+" 6
"538" "lmo1209" "AL591824.1" 1232260 1232265 "+" 6
"539" "lmo1213" "AL591824.1" 1234465 1234776 "+" 312
"540" "lmo1214" "AL591824.1" 1234766 1234771 "+" 6
"541" "pheS" "AL591824.1" 1241048 1242100 "+" 1053
"542" "pheT" "AL591824.1" 1244517 1244568 "+" 52
"543" "lmo1223" "AL591824.1" 1244669 1245370 "+" 702
"544" "lmo1224" "AL591824.1" 1245384 1248794 "+" 3411
"545" "lmo1229" "AL591824.1" 1254459 1254722 "+" 264
"546" "lmo1230" "AL591824.1" 1254710 1254715 "+" 6
"547" "racE" "AL591824.1" 1263829 1264629 "+" 801
"548" "lmo1238" "AL591824.1" 1264642 1265388 "+" 747
"549" "lmo1239" "AL591824.1" 1265379 1265384 "+" 6
"550" "lmo1249" "AL591824.1" 1273188 1273220 "-" 33
"551" "lmo1250" "AL591824.1" 1273473 1274678 "-" 1206
"552" "lmo1249" "AL591824.1" 1273486 1273491 "-" 6
"553" "proA" "AL591824.1" 1283373 1283406 "-" 34
"554" "proB" "AL591824.1" 1284644 1285474 "-" 831
"555" "proA" "AL591824.1" 1284670 1284675 "-" 6
"556" "lmo1270" "AL591824.1" 1294293 1294350 "+" 58
"557" "lmo1271" "AL591824.1" 1294344 1294349 "+" 6
"558" "lmo1272" "AL591824.1" 1294912 1295775 "+" 864
"559" "rnhB" "AL591824.1" 1295756 1295761 "+" 6
"560" "rnhB" "AL591824.1" 1296577 1296602 "+" 26
"561" "lmo1283" "AL591824.1" 1306082 1306087 "+" 6
"562" "parE" "AL591824.1" 1308351 1310318 "+" 1968
"563" "parC" "AL591824.1" 1310299 1310304 "+" 6
"564" "parC" "AL591824.1" 1312785 1312825 "+" 41
"565" "lmo1296" "AL591824.1" 1323794 1325017 "+" 1224
"566" "lmo1297" "AL591824.1" 1324998 1325003 "+" 6
"567" "lmo1297" "AL591824.1" 1326279 1326310 "+" 32
"568" "lmo1309" "AL591824.1" 1335932 1336438 "-" 507
"569" "lmo1310" "AL591824.1" 1337762 1337767 "-" 6
"570" "smbA" "AL591824.1" 1339592 1340320 "+" 729
"571" "frr" "AL591824.1" 1340306 1340311 "+" 6
"572" "lmo1315" "AL591824.1" 1341107 1341865 "+" 759
"573" "cdsA" "AL591824.1" 1341879 1342667 "+" 789
"574" "lmo1323" "AL591824.1" 1353097 1353381 "+" 285
"575" "lmo1324" "AL591824.1" 1353359 1353364 "+" 6
"576" "infB" "AL591824.1" 1353696 1356035 "+" 2340
"577" "lmo1326" "AL591824.1" 1356013 1356018 "+" 6
"578" "lmo1337" "AL591824.1" 1364669 1366207 "+" 1539
"579" "lmo1338" "AL591824.1" 1366220 1366432 "+" 213
"580" "lmo1342" "AL591824.1" 1369461 1369466 "-" 6
"581" "lmo1343" "AL591824.1" 1369707 1369712 "-" 6
"582" "lmo1345" "AL591824.1" 1370108 1370431 "-" 324
"583" "lmo1344" "AL591824.1" 1370116 1370120 "-" 5
"584" "comGA" "AL591824.1" 1371454 1372476 "-" 1023
"585" "comGB" "AL591824.1" 1371482 1371487 "-" 6
"586" "lmo1349" "AL591824.1" 1374119 1375465 "+" 1347
"587" "lmo1350" "AL591824.1" 1375449 1375454 "+" 6
"588" "lmo1350" "AL591824.1" 1376935 1376962 "+" 28
"589" "lmo1352" "AL591824.1" 1377410 1377682 "-" 273
"590" "lmo1356" "AL591824.1" 1380720 1381187 "+" 468
"591" "lmo1357" "AL591824.1" 1381201 1382565 "+" 1365
"592" "lmo1358" "AL591824.1" 1382555 1382560 "+" 6
"593" "lmo1361" "AL591824.1" 1384362 1385714 "+" 1353
"594" "lmo1363" "AL591824.1" 1385918 1385923 "+" 6
"595" "lmo1366" "AL591824.1" 1389193 1389198 "+" 6
"596" "lmo1366" "AL591824.1" 1390038 1390061 "+" 24
"597" "lisR" "AL591824.1" 1402550 1403230 "+" 681
"598" "lisK" "AL591824.1" 1404683 1404707 "+" 25
"599" "lmo1389" "AL591824.1" 1415152 1416693 "+" 1542
"600" "lmo1390" "AL591824.1" 1416674 1416679 "+" 6
"601" "lmo1391" "AL591824.1" 1417719 1417724 "+" 6
"602" "lmo1391" "AL591824.1" 1418696 1418730 "+" 35
"603" "lmo1392" "AL591824.1" 1418803 1420095 "+" 1293
"604" "lmo1393" "AL591824.1" 1420062 1420067 "+" 6
"605" "lmo1400" "AL591824.1" 1428442 1428939 "+" 498
"606" "lmo1401" "AL591824.1" 1428930 1428935 "+" 6
"607" "lmo1418" "AL591824.1" 1448315 1449583 "-" 1269
"608" "lmo1419" "AL591824.1" 1449596 1449640 "-" 45
"609" "lmo1419" "AL591824.1" 1449647 1450684 "-" 1038
"610" "lmo1421" "AL591824.1" 1451813 1452799 "+" 987
"611" "lmo1422" "AL591824.1" 1452784 1452790 "+" 7
"612" "lmo1422" "AL591824.1" 1454316 1454341 "+" 26
"613" "opuCD" "AL591824.1" 1456775 1457446 "-" 672
"614" "opuCC" "AL591824.1" 1458396 1458401 "-" 6
"615" "opuCA" "AL591824.1" 1459049 1460242 "-" 1194
"616" "opuCB" "AL591824.1" 1459054 1459059 "-" 6
"617" "lmo1435" "AL591824.1" 1467325 1468206 "-" 882
"618" "lmo1436" "AL591824.1" 1468221 1469432 "-" 1212
"619" "lmo1437" "AL591824.1" 1469444 1470487 "-" 1044
"620" "lmo1442" "AL591824.1" 1475944 1476651 "+" 708
"621" "lmo1443" "AL591824.1" 1476624 1476629 "+" 6
"622" "zurR" "AL591824.1" 1478045 1478061 "-" 17
"623" "zurR" "AL591824.1" 1478505 1478510 "-" 6
"624" "zurA" "AL591824.1" 1479330 1480103 "-" 774
"625" "zurM" "AL591824.1" 1479365 1479370 "-" 6
"626" "lmo1452" "AL591824.1" 1484548 1484581 "-" 34
"627" "lmo1453" "AL591824.1" 1485708 1486412 "-" 705
"628" "lmo1452" "AL591824.1" 1485719 1485724 "-" 6
"629" "glyQ" "AL591824.1" 1493146 1494036 "-" 891
"630" "glyS" "AL591824.1" 1493162 1493167 "-" 6
"631" "lmo1462" "AL591824.1" 1495859 1495894 "-" 36
"632" "lmo1463" "AL591824.1" 1496801 1497196 "-" 396
"633" "lmo1462" "AL591824.1" 1496812 1496817 "-" 6
"634" "lmo1465" "AL591824.1" 1497594 1498079 "-" 486
"635" "lmo1464" "AL591824.1" 1497622 1497629 "-" 8
"636" "lmo1471" "AL591824.1" 1503020 1503964 "-" 945
"637" "lmo1470" "AL591824.1" 1503030 1503035 "-" 6
"638" "lmo1486" "AL591824.1" 1520104 1520109 "-" 6
"639" "lmo1488" "AL591824.1" 1520659 1521225 "-" 567
"640" "lmo1487" "AL591824.1" 1520682 1520687 "-" 6
"641" "lmo1490" "AL591824.1" 1521533 1522354 "-" 822
"642" "lmo1489" "AL591824.1" 1521540 1521545 "-" 6
"643" "lmo1492" "AL591824.1" 1523471 1523992 "-" 522
"644" "lmo1491" "AL591824.1" 1523482 1523487 "-" 6
"645" "lmo1498" "AL591824.1" 1528724 1529377 "-" 654
"646" "udk" "AL591824.1" 1528734 1528739 "-" 6
"647" "lmo1503" "AL591824.1" 1532129 1532401 "-" 273
"648" "lmo1502" "AL591824.1" 1532137 1532144 "-" 8
"649" "lmo1505" "AL591824.1" 1535439 1536134 "-" 696
"650" "lmo1506" "AL591824.1" 1536143 1537648 "-" 1506
"651" "lmo1507" "AL591824.1" 1537815 1538501 "+" 687
"652" "lmo1508" "AL591824.1" 1539946 1539971 "+" 26
"653" "hisS" "AL591824.1" 1552632 1553909 "-" 1278
"654" "aspS" "AL591824.1" 1552637 1552642 "-" 6
"655" "apt" "AL591824.1" 1558538 1558561 "-" 24
"656" "lmo1525" "AL591824.1" 1559081 1561432 "-" 2352
"657" "apt" "AL591824.1" 1559101 1559106 "-" 6
"658" "ruvB" "AL591824.1" 1567397 1568404 "-" 1008
"659" "lmo1531" "AL591824.1" 1567402 1567407 "-" 6
"660" "rpmA" "AL591824.1" 1576076 1576397 "-" 322
"661" "lmo1541" "AL591824.1" 1576411 1576728 "-" 318
"662" "minC" "AL591824.1" 1579428 1580105 "-" 678
"663" "minD" "AL591824.1" 1579435 1579440 "-" 6
"664" "mreC" "AL591824.1" 1580804 1581691 "-" 888
"665" "mreD" "AL591824.1" 1580811 1580816 "-" 6
"666" "lmo1549" "AL591824.1" 1583242 1583916 "-" 675
"667" "comC" "AL591824.1" 1583928 1584638 "-" 711
"668" "hemL" "AL591824.1" 1589175 1590464 "-" 1290
"669" "hemB" "AL591824.1" 1591459 1591464 "-" 6
"670" "hemA" "AL591824.1" 1593100 1594407 "-" 1308
"671" "hemC" "AL591824.1" 1593106 1593111 "-" 6
"672" "dnaI" "AL591824.1" 1597499 1598422 "-" 924
"673" "dnaB" "AL591824.1" 1598432 1599808 "-" 1377
"674" "lmo1562" "AL591824.1" 1599814 1600278 "-" 465
"675" "accA" "AL591824.1" 1611403 1611442 "-" 40
"676" "accD" "AL591824.1" 1612395 1613279 "-" 885
"677" "argF" "AL591824.1" 1628622 1628641 "-" 20
"678" "argF" "AL591824.1" 1629606 1629612 "-" 7
"679" "argB" "AL591824.1" 1630751 1631503 "-" 753
"680" "argD" "AL591824.1" 1630762 1630767 "-" 6
"681" "argJ" "AL591824.1" 1631516 1632712 "-" 1197
"682" "lmo1593" "AL591824.1" 1635146 1636285 "-" 1140
"683" "lmo1592" "AL591824.1" 1635153 1635160 "-" 8
"684" "lmo1608" "AL591824.1" 1653433 1654233 "-" 801
"685" "pheT" "AL591824.1" 1653435 1653440 "-" 6
"686" "lmo1611" "AL591824.1" 1654902 1655975 "-" 1074
"687" "lmo1616" "AL591824.1" 1658466 1659248 "-" 783
"688" "lmo1615" "AL591824.1" 1658468 1658473 "-" 6
"689" "lmo1617" "AL591824.1" 1659421 1659446 "-" 26
"690" "lmo1618" "AL591824.1" 1660923 1661363 "-" 441
"691" "lmo1617" "AL591824.1" 1660936 1660941 "-" 6
"692" "lmo1623" "AL591824.1" 1665414 1666097 "-" 684
"693" "lmo1624" "AL591824.1" 1666107 1667720 "-" 1614
"694" "trpA" "AL591824.1" 1670820 1670825 "-" 6
"695" "trpB" "AL591824.1" 1672015 1672020 "-" 6
"696" "trpF" "AL591824.1" 1672624 1672629 "-" 6
"697" "trpC" "AL591824.1" 1673382 1673387 "-" 6
"698" "trpD" "AL591824.1" 1674397 1674402 "-" 6
"699" "trpE" "AL591824.1" 1674961 1676325 "-" 1365
"700" "trpG" "AL591824.1" 1674972 1674977 "-" 6
"701" "lmo1636" "AL591824.1" 1680644 1681564 "+" 921
"702" "lmo1637" "AL591824.1" 1681546 1681551 "+" 6
"703" "lmo1637" "AL591824.1" 1682638 1682658 "+" 21
"704" "lmo1638" "AL591824.1" 1682638 1682658 "-" 21
"705" "lmo1639" "AL591824.1" 1683635 1684216 "-" 582
"706" "lmo1638" "AL591824.1" 1683646 1683651 "-" 6
"707" "lmo1640" "AL591824.1" 1684229 1684462 "-" 234
"708" "lmo1644" "AL591824.1" 1688670 1691888 "-" 3219
"709" "lmo1643" "AL591824.1" 1688678 1688683 "-" 6
"710" "lmo1646" "AL591824.1" 1695040 1696164 "-" 1125
"711" "lmo1645" "AL591824.1" 1695051 1695056 "-" 6
"712" "lmo1652" "AL591824.1" 1700523 1702292 "-" 1770
"713" "lmo1651" "AL591824.1" 1700548 1700553 "-" 6
"714" "lmo1661" "AL591824.1" 1711672 1712637 "+" 966
"715" "lmo1662" "AL591824.1" 1712618 1712623 "+" 6
"716" "menE" "AL591824.1" 1725584 1726993 "-" 1410
"717" "menB" "AL591824.1" 1726933 1726966 "-" 34
"718" "menB" "AL591824.1" 1727835 1727840 "-" 6
"719" "lmo1674" "AL591824.1" 1728664 1728669 "-" 6
"720" "menF" "AL591824.1" 1730392 1731780 "-" 1389
"721" "menD" "AL591824.1" 1730405 1730410 "-" 6
"722" "lmo1678" "AL591824.1" 1732899 1732921 "-" 23
"723" "lmo1678" "AL591824.1" 1734789 1734794 "-" 6
"724" "lmo1680" "AL591824.1" 1735941 1737065 "-" 1125
"725" "lmo1679" "AL591824.1" 1735958 1735963 "-" 6
"726" "lmo1689" "AL591824.1" 1753845 1754942 "-" 1098
"727" "lmo1688" "AL591824.1" 1753850 1753855 "-" 6
"728" "lmo1691" "AL591824.1" 1756130 1756617 "-" 488
"729" "lmo1693" "AL591824.1" 1756864 1757673 "-" 810
"730" "lmo1692" "AL591824.1" 1756872 1756877 "-" 6
"731" "lmo1723" "AL591824.1" 1786624 1786629 "-" 6
"732" "lmo1725" "AL591824.1" 1787280 1787648 "-" 369
"733" "lmo1724" "AL591824.1" 1787295 1787300 "-" 6
"734" "lmo1729" "AL591824.1" 1793082 1795253 "-" 2172
"735" "lmo1728" "AL591824.1" 1793095 1793101 "-" 7
"736" "lmo1733" "AL591824.1" 1798740 1800241 "-" 1502
"737" "lmo1734" "AL591824.1" 1800256 1804848 "-" 4593
"738" "lmo1739" "AL591824.1" 1808460 1809107 "-" 648
"739" "lmo1738" "AL591824.1" 1808468 1808473 "-" 6
"740" "lmo1740" "AL591824.1" 1809118 1809759 "-" 642
"741" "lmo1747" "AL591824.1" 1817112 1817879 "-" 768
"742" "lmo1746" "AL591824.1" 1817134 1817139 "-" 6
"743" "gatB" "AL591824.1" 1823463 1824924 "-" 1462
"744" "gatA" "AL591824.1" 1824936 1826387 "-" 1452
"745" "lmo1758" "AL591824.1" 1827941 1829956 "-" 2016
"746" "lmo1757" "AL591824.1" 1827954 1827959 "-" 6
"747" "purH" "AL591824.1" 1838058 1838063 "-" 6
"748" "purM" "AL591824.1" 1838614 1839663 "-" 1050
"749" "purN" "AL591824.1" 1838627 1838632 "-" 6
"750" "purF" "AL591824.1" 1841117 1841122 "-" 6
"751" "purQ" "AL591824.1" 1843323 1843328 "-" 6
"752" "lmo1771" "AL591824.1" 1843993 1844238 "-" 246
"753" "purL" "AL591824.1" 1843998 1844003 "-" 6
"754" "purC" "AL591824.1" 1844250 1844963 "-" 714
"755" "purE" "AL591824.1" 1847472 1847960 "-" 489
"756" "purK" "AL591824.1" 1847486 1847494 "-" 9
"757" "lmo1788" "AL591824.1" 1862459 1862893 "+" 435
"758" "lmo1789" "AL591824.1" 1862880 1862885 "+" 6
"759" "lmo1793" "AL591824.1" 1865394 1865912 "-" 519
"760" "trmD" "AL591824.1" 1865407 1865412 "-" 6
"761" "lmo1794" "AL591824.1" 1865922 1866308 "-" 387
"762" "lmo1796" "AL591824.1" 1867157 1867410 "-" 254
"763" "rpsP" "AL591824.1" 1867427 1867699 "-" 273
"764" "ffh" "AL591824.1" 1873731 1875116 "-" 1386
"765" "lmo1802" "AL591824.1" 1875129 1875461 "-" 333
"766" "fabG" "AL591824.1" 1882132 1882137 "-" 6
"767" "plsX" "AL591824.1" 1883062 1884075 "-" 1014
"768" "fabD" "AL591824.1" 1883081 1883086 "-" 6
"769" "lmo1812" "AL591824.1" 1886887 1887777 "-" 891
"770" "lmo1819" "AL591824.1" 1892603 1893478 "-" 876
"771" "lmo1818" "AL591824.1" 1892609 1892614 "-" 6
"772" "lmo1820" "AL591824.1" 1895473 1895478 "-" 6
"773" "fmt" "AL591824.1" 1897577 1898515 "-" 939
"774" "lmo1822" "AL591824.1" 1897585 1897592 "-" 8
"775" "lmo1826" "AL591824.1" 1902253 1902272 "-" 20
"776" "lmo1827" "AL591824.1" 1902484 1903101 "-" 618
"777" "lmo1826" "AL591824.1" 1902495 1902500 "-" 6
"778" "pyrE" "AL591824.1" 1906560 1906588 "-" 29
"779" "pyrE" "AL591824.1" 1907229 1907234 "-" 6
"780" "pyrF" "AL591824.1" 1907930 1907935 "-" 6
"781" "pyrDII" "AL591824.1" 1908827 1909591 "-" 765
"782" "pyrD" "AL591824.1" 1908838 1908843 "-" 6
"783" "pyrAB" "AL591824.1" 1912836 1912841 "-" 6
"784" "pyrAa" "AL591824.1" 1913918 1913923 "-" 6
"785" "pyrB" "AL591824.1" 1915175 1916086 "-" 912
"786" "pyrC" "AL591824.1" 1915193 1915198 "-" 6
"787" "lmo1843" "AL591824.1" 1919482 1919519 "-" 38
"788" "lsp" "AL591824.1" 1920436 1920900 "-" 465
"789" "lmo1843" "AL591824.1" 1920443 1920448 "-" 6
"790" "lmo1847" "AL591824.1" 1923789 1923819 "-" 31
"791" "lmo1847" "AL591824.1" 1924765 1924770 "-" 6
"792" "lmo1849" "AL591824.1" 1925600 1926322 "-" 723
"793" "lmo1848" "AL591824.1" 1925604 1925609 "-" 6
"794" "lmo1852" "AL591824.1" 1928543 1928785 "-" 243
"795" "lmo1853" "AL591824.1" 1928798 1931011 "-" 2214
"796" "lmo1854" "AL591824.1" 1931026 1931319 "-" 294
"797" "deoD" "AL591824.1" 1932324 1933025 "-" 702
"798" "lmo1857" "AL591824.1" 1933037 1933270 "-" 234
"799" "lmo1860" "AL591824.1" 1934765 1935298 "-" 534
"800" "lmo1859" "AL591824.1" 1934766 1934771 "-" 6
"801" "lmo1869" "AL591824.1" 1943068 1944051 "-" 984
"802" "lmo1868" "AL591824.1" 1943072 1943077 "-" 6
"803" "lmo1874" "AL591824.1" 1947914 1948858 "-" 945
"804" "lmo1875" "AL591824.1" 1948871 1950763 "-" 1893
"805" "lmo1876" "AL591824.1" 1950844 1950874 "-" 31
"806" "lmo1877" "AL591824.1" 1951284 1952564 "-" 1281
"807" "lmo1885" "AL591824.1" 1958162 1958740 "-" 579
"808" "lmo1884" "AL591824.1" 1958167 1958172 "-" 6
"809" "lmo1889" "AL591824.1" 1963251 1963256 "-" 6
"810" "lmo1893" "AL591824.1" 1966981 1967010 "-" 30
"811" "nth" "AL591824.1" 1967499 1968158 "-" 660
"812" "lmo1893" "AL591824.1" 1967511 1967516 "-" 6
"813" "dnaD" "AL591824.1" 1968169 1968888 "-" 720
"814" "ansB" "AL591824.1" 1969006 1970329 "-" 1324
"815" "aspB" "AL591824.1" 1970343 1971524 "-" 1182
"816" "panD" "AL591824.1" 1975452 1975457 "-" 6
"817" "panB" "AL591824.1" 1976307 1977140 "-" 834
"818" "panC" "AL591824.1" 1976313 1976318 "-" 6
"819" "cca" "AL591824.1" 1978895 1980076 "-" 1182
"820" "birA" "AL591824.1" 1978916 1978921 "-" 6
"821" "lmo1908" "AL591824.1" 1981299 1981634 "-" 336
"822" "dapB" "AL591824.1" 1981313 1981318 "-" 6
"823" "lmo1912" "AL591824.1" 1985218 1986345 "+" 1128
"824" "lmo1913" "AL591824.1" 1986329 1986334 "+" 6
"825" "lmo1915" "AL591824.1" 1988159 1989802 "+" 1644
"826" "lmo1916" "AL591824.1" 1989793 1989798 "+" 6
"827" "aroE" "AL591824.1" 1998168 1999454 "-" 1287
"828" "tyrA" "AL591824.1" 1999468 2000571 "-" 1104
"829" "hisC" "AL591824.1" 2001682 2001687 "-" 6
"830" "lmo1926" "AL591824.1" 2002058 2002063 "-" 6
"831" "aroF" "AL591824.1" 2003145 2004311 "-" 1167
"832" "aroB" "AL591824.1" 2003150 2003155 "-" 6
"833" "lmo1930" "AL591824.1" 2004977 2005942 "-" 966
"834" "menH" "AL591824.1" 2005953 2006666 "-" 714
"835" "lmo1943" "AL591824.1" 2018258 2019265 "-" 1008
"836" "recS" "AL591824.1" 2018269 2018274 "-" 6
"837" "lmo1949" "AL591824.1" 2024804 2024809 "-" 6
"838" "lmo1951" "AL591824.1" 2025392 2026141 "-" 750
"839" "lmo1950" "AL591824.1" 2025405 2025410 "-" 6
"840" "fhuB" "AL591824.1" 2032460 2033485 "-" 1026
"841" "fhuG" "AL591824.1" 2032469 2032474 "-" 6
"842" "fhuC" "AL591824.1" 2034693 2035517 "+" 825
"843" "lmo1961" "AL591824.1" 2035492 2035497 "+" 6
"844" "lmo1961" "AL591824.1" 2036511 2036536 "+" 26
"845" "lmo1962" "AL591824.1" 2037152 2037157 "-" 6
"846" "lmo1964" "AL591824.1" 2037953 2038840 "-" 888
"847" "lmo1963" "AL591824.1" 2037966 2037971 "-" 6
"848" "lmo1966" "AL591824.1" 2040274 2040933 "+" 660
"849" "lmo1967" "AL591824.1" 2040897 2040902 "+" 6
"850" "lmo1967" "AL591824.1" 2042117 2042142 "+" 26
"851" "lmo1968" "AL591824.1" 2042117 2042900 "-" 784
"852" "lmo1969" "AL591824.1" 2042913 2043521 "-" 609
"853" "lmo1973" "AL591824.1" 2046046 2046489 "-" 444
"854" "lmo1972" "AL591824.1" 2046054 2046059 "-" 6
"855" "lmo1977" "AL591824.1" 2049419 2050339 "-" 921
"856" "lmo1976" "AL591824.1" 2049423 2049428 "-" 6
"857" "lmo1982" "AL591824.1" 2053274 2053801 "-" 528
"858" "lmo1981" "AL591824.1" 2053311 2053316 "-" 6
"859" "ilvB" "AL591824.1" 2056205 2057926 "+" 1722
"860" "ilvN" "AL591824.1" 2057913 2057918 "+" 6
"861" "leuA" "AL591824.1" 2059669 2061207 "+" 1539
"862" "leuB" "AL591824.1" 2061194 2061199 "+" 6
"863" "leuC" "AL591824.1" 2062249 2062254 "+" 6
"864" "leuD" "AL591824.1" 2063623 2063628 "+" 6
"865" "lmo1999" "AL591824.1" 2072205 2073269 "-" 1065
"866" "lmo2001" "AL591824.1" 2074084 2074902 "-" 819
"867" "lmo2000" "AL591824.1" 2074112 2074117 "-" 6
"868" "lmo2004" "AL591824.1" 2076115 2076846 "-" 732
"869" "lmo2003" "AL591824.1" 2076123 2076128 "-" 6
"870" "lmo2011" "AL591824.1" 2085021 2086760 "-" 1740
"871" "lmo2010" "AL591824.1" 2085031 2085036 "-" 6
"872" "lmo2014" "AL591824.1" 2088797 2091454 "-" 2658
"873" "lmo2013" "AL591824.1" 2088801 2088806 "-" 6
"874" "lmo2021" "AL591824.1" 2100845 2101366 "-" 522
"875" "lmo2022" "AL591824.1" 2101371 2102477 "-" 1107
